Club,Player Name,Age,Position,Matches Played,Goals,Assists,xG per 90
Arsenal,Aaron Ramsdale,24,GK,38,0,0,0.00
Arsenal,Gabriel Magalhães,24,DF,38,3,0,0.13
Arsenal,Bukayo Saka,20,FW,38,14,11,0.32
Arsenal,Martin Ødegaard,23,MF,37,15,7,0.29
Arsenal,Ben White,24,DF,38,2,5,0.04
Arsenal,Granit Xhaka,29,MF,37,7,7,0.14
Arsenal,Gabriel Martinelli,21,FW,36,15,5,0.30
Arsenal,Thomas Partey,29,MF,33,3,0,0.08
Arsenal,William Saliba,21,DF,27,2,1,0.03
Arsenal,Oleksandr Zinchenko,25,DF,27,1,2,0.06
Arsenal,Gabriel Jesus,25,FW,26,11,6,0.61
