Club,Player Name,Age,Position,Matches Played,Goals,Assists,xG per 90
Arsenal,Leandro Trossard,27,FW,20,1,10,0.18
Arsenal,Eddie Nketiah,23,FW,30,4,1,0.68
Arsenal,Jorginho,30,MF,14,0,1,0.02
Arsenal,Kieran Tierney,25,DF,27,0,1,0.04
Arsenal,Takehiro Tomiyasu,23,DF,21,0,1,0.03
Arsenal,Rob Holding,26,DF,14,1,0,0.05
Arsenal,Jakub Kiwior,22,DF,7,1,0,0.02
Arsenal,Fabio Vieira,22,"MF,FW",22,1,2,0.15
Arsenal,Albert Sambi Lokonga,22,MF,6,0,0,0.00
Arsenal,Mohamed Elneny,30,MF,5,0,0,0.00
Arsenal,Reiss Nelson,22,FW,11,3,2,0.46
